Address,Name,Privilege,Access,Description,shared,Type,width,rdata,sign_ext_rdata,wdata,shadow,resetVal,aon,reset,triggerCnt,latch,implemented,ifdef,trap_if,comment
0x7A0,tselect,machine,RW-HWIRED,Debug/Trace trigger register select,YES,,0,64'h0,,,,,,NON-DEBUG,,,YES,,,hardwired: only 1 breakpoint per thread
0x7A1,tdata1,machine,RW,First Debug/Trace trigger data register,NO,csr_tdata1_t,,read_tdata1,,,,`TDATA1_RESET_VAL,,NON-DEBUG,,NO,YES,,,
0x7A2,tdata2,machine,RW,Second Debug/Trace trigger data register,NO,,`VA_SIZE,,,,,,,NON-DEBUG,,YES,YES,,,
0x7A3,tdata3,machine,RW,Third Debug/Trace trigger data register,,,,,,,,,,NON-DEBUG,,,NO,,,unused
0x7A4,tinfo,machine,RW-HWIRED,trigger info,YES,,0,`CSR_TRIGGER_INFO,,,,,,NON-DEBUG,,,NO,,,Unimplemented => reading it will result in illegal instruction exception
Debug Mode Registers,,,,,,,,,,,,,,,,,,,,
0x7B0,dcsr,machine,RW,Debug control and status register,NO,csr_dcsr_t,,,,,,`DCSR_RESET_VAL,YES,NON-DEBUG,,NO,YES,,,
0x7B1,dpc,machine,RW,Debug PC,NO,csr_pc_t,,,YES,extend_VA(wb_wdata),,,YES,NON-DEBUG,,NO,YES,,,
0x7B2,dscratch0,machine,RW-HWIRED,Debug scratch register,YES,,0,64'h0,,,,,,NON-DEBUG,,,NO,,,
0x7b8,ddata0,machine,RW,,NO,MANUAL,,read_ddata0,,,,,,NON-DEBUG,,,YES,,,
custom CORE-ET machine csrs,,,,,,,,,,,,,,,,,,,,
0x7c0,matp,machine,RW,Machine address translation and protection,YES,csr_matp_t,,,,,,'0,,NON-DEBUG,,YES,YES,,,
0x7cd,minstmask,machine,RW,Mask to implement instruction in mcode,NO,minst_mask_t,,,,,,0,,NON-DEBUG,,YES,YES,,,
0x7ce,minstmatch,machine,RW,Value to match to the instruction bits anded with minstmask to trap to mcode,NO,,32,,,,,'0,,NON-DEBUG,,YES,YES,,,
0x7cf,amofence_ctrl,machine,RW,Chicken bits for acquire and release operations,YES,csr_amofence_t,,,,,,`AMOFENCE_CTRL_RESET_VAL,,NON-DEBUG,,YES,NO,,,Not implemented => acquire and release not avaiable in CORE-ET atomics extension
0x7d0,cacheInvalidate,machine,RW,flushes icache,YES,MANUAL,2,64'h0,,,,,,NON-DEBUG,,,YES,,,
0x7d1,msleep_txfma_27,machine,RW,power gate txfma and trans from 2 to 7,YES,,1,,,,,'0,,NON-DEBUG,,NO,NO,,,
0x7d2,menable_shadows,machine,RW,"Enable some shadow registers in umode (hartid, sleep_txfma...)",YES,menable_shadows_t,,,,,,'0,,NON-DEBUG,,YES,YES,,,
0x7d3,excl_mode,machine,RW,csr to allow exclusive access for a thread,YES,,1,,,,,'0,,NON-DEBUG,,YES,YES,,,
0x7d4,mtxfma_sleep_traps,machine,RW,controls what instruction using the txfma will trap if sleep_txfma is on,YES,txfma_sleep_traps_t,,,,,,'0,,NON-DEBUG,,YES,NO,,,
0x7d5,mbusaddr,machine,RW,Address that caused a dcache bus error,NO,,`PA_SIZE,,,,,,YES,,,,YES,,,
0x7d6,mbuspc,machine,RW,PC that got a dcache bus error,NO,,`PC_SIZE_EXT,,,,,,YES,,,,YES,DCACHE_REPORT_PC,,
Custom CORE-ET Cache Ops m-mode csr,,,,,,,,,,,,,,,,,,,,
